Start Time,GPS Time,End Time,Lattitude,Longitude,Altitude,Train Speed,Prev. Lat,Prev. Long,Delay,Download Speed,Upload Speed,Ping
1746259136.1010964,1746259136.182835,1746259141.7267632,49.5460092,17.6614126,0,67,49.547011,17.6638347,0,3.17,0.0,527.1
1746259146.8466516,1746259146.9132302,1746259151.3614295,49.5433043,17.6546333,0,39,49.5460092,17.6614126,0,3.97,0.0,446.36
1746259156.5042677,1746259156.5694232,1746259163.2763398,49.5430711,17.6528505,0,26,49.5431701,17.6535979,0,2.53,0.0,417.46
1746259168.3928201,1746259168.461388,1746259174.3953693,49.5429637,17.6521115,0,12,49.5430028,17.6524187,0,2.83,0.0,321.54
1746259179.5188055,1746259179.5789373,1746259183.362081,49.5429235,17.6518697,0,4,49.5429472,17.6519587,0,4.66,0.0,376.34
1746259188.4768548,1746259188.518661,1746259193.4777758,49.5429096,17.6518256,0,0,49.5429188,17.6518382,0,3.5,0.0,417.85
1746259198.586065,1746259198.665206,1746259203.6292367,49.5428974,17.6518345,0,1,49.54291,17.6518342,0,3.74,0.0,715.38
1746259208.7389765,1746259208.812315,1746259214.4610734,49.542906,17.6518311,0,0,49.5429006,17.6518269,0,3.03,0.0,399.21
1746259219.5680923,1746259219.6475291,1746259223.7911084,49.5429151,17.651835,0,1,49.5429111,17.6518301,0,4.27,0.0,418.66
1746259228.919178,1746259228.9647067,1746259233.2775433,49.5429126,17.6518464,0,0,49.5429046,17.6518361,0,4.19,0.0,524.44
1746259238.3996372,1746259238.468409,1746259242.2839246,49.5429299,17.6518429,0,0,49.5429126,17.6518376,0,4.71,0.0,440.16
1746259247.414828,1746259247.480512,1746259250.746875,49.5429166,17.6518448,0,0,49.5429304,17.6518394,0,5.62,0.0,439.24
1746259255.8926358,1746259255.9662728,1746259260.182889,49.5429161,17.6518454,0,0,49.5429166,17.6518448,0,4.11,0.0,350.4
1746259265.3226788,1746259265.3854163,1746259269.8687193,49.5429062,17.6517833,0,5,49.5429203,17.6518401,0,4.05,0.0,558.01
1746259274.9835515,1746259275.0325413,1746259278.788336,49.5428231,17.6513071,0,17,49.5428663,17.6515899,0,4.7,0.0,371.48
1746259283.8993547,1746259283.9460616,1746259287.5372772,49.5426449,17.6504019,0,29,49.5427498,17.6509021,0,5.03,0.0,429.85
1746259292.6482437,1746259292.6937625,1746259296.8319235,49.5425094,17.6498059,0,34,49.5426449,17.6504019,0,4.35,0.0,488.17
1746259302.1623492,1746259302.227549,1746259306.7018206,49.5421028,17.6484997,0,35,49.5423034,17.649161,0,3.88,0.0,376.47
1746259311.8262472,1746259311.8714368,1746259316.1038258,49.541644,17.6471912,0,37,49.5418783,17.647839,0,4.33,0.0,562.24
1746259321.2182467,1746259321.283229,1746259326.0897963,49.5410378,17.645832,0,37,49.5413134,17.64645,0,3.75,0.0,571.7
1746259331.2022328,1746259331.273282,1746259335.4286532,49.540436,17.6446345,0,40,49.5407473,17.6452282,0,4.25,0.0,412.38
1746259340.543717,1746259340.5837271,1746259344.3829083,49.5398737,17.6434024,0,39,49.5401573,17.6440101,0,4.85,0.0,523.12
1746259349.5010135,1746259349.5442283,1746259353.2254903,49.5393258,17.6421882,0,38,49.5395913,17.6427946,0,4.8,0.0,369.14
1746259358.3368852,1746259358.4028656,1746259362.4381886,49.5390621,17.6415547,0,39,49.5393258,17.6421882,0,4.52,0.0,522.16
1746259367.5495226,1746259367.6253698,1746259371.2439096,49.5386305,17.6402691,0,37,49.5388479,17.6409211,0,4.81,0.0,311.52
1746259376.3558125,1746259376.426996,1746259380.13793,49.5382503,17.6389403,0,37,49.5384272,17.6396035,0,4.98,0.0,521.05
1746259385.2499318,1746259385.2995336,1746259389.6336775,49.5379489,17.6375643,0,37,49.538104,17.6382696,0,4.1,0.0,456.33
1746259394.7442975,1746259394.7902548,1746259398.8177862,49.5377009,17.6360107,0,37,49.5378317,17.6368605,0,4.62,0.0,590.73
1746259403.9273713,1746259404.004071,1746259407.5495436,49.5377009,17.6360107,0,37,49.5378317,17.6368605,0,5.03,0.0,388.71
1746259412.6654203,1746259412.717198,1746259416.2320619,49.5377009,17.6360107,0,37,49.5378317,17.6368605,0,5.04,0.0,360.07
1746259421.345385,1746259421.4051027,1746259428.4475663,49.5377009,17.6360107,0,37,49.5378317,17.6368605,0,2.36,0.0,316.25
1746259433.5633967,1746259433.612544,1746259440.9371228,49.5377009,17.6360107,0,37,49.5378317,17.6368605,0,2.39,0.0,681.66
1746259446.0478337,1746259446.1112072,1746259453.0100234,49.5370163,17.6289833,0,40,49.5377009,17.6360107,0,2.47,0.0,471.72
1746259458.1209853,1746259458.2029648,1746259463.731681,49.5368469,17.6271508,0,39,49.5369263,17.6279163,0,3.27,0.0,667.99
1746259468.8442192,1746259468.9274566,1746259475.0423207,49.5366226,17.6248247,0,40,49.5366957,17.6256021,0,2.88,0.0,593.73
1746259480.1542594,1746259480.2231834,1746259490.8213944,49.5364785,17.6233,0,40,49.5365437,17.6240635,0,0.98,0.0,563.09
1746259495.9340332,1746259495.9751177,1746259501.5347774,49.5362654,17.6210791,0,38,49.5363416,17.621812,0,3.17,0.0,553.76
1746259506.6503685,1746259506.696929,1746259514.7833333,49.5361199,17.619648,0,37,49.5361883,17.6203594,0,2.09,0.0,469.17
1746259519.8998535,1746259519.9657087,1746259524.5864446,49.5359694,17.617581,0,37,49.5360405,17.6182769,0,3.91,0.0,552.14
1746259529.6968603,1746259529.7693655,1746259535.4179976,49.5358307,17.6161566,0,34,49.5358973,17.6169211,0,3.13,0.0,579.01
1746259540.5320218,1746259540.605043,1746259546.5470164,49.5357203,17.6148733,0,34,49.5358307,17.6161566,0,3.0,0.0,646.9
1746259551.6556263,1746259551.7313366,1746259555.952723,49.5355802,17.613471,0,42,49.5356524,17.6142038,0,4.31,0.0,535.02
1746259561.0613916,1746259561.105558,1746259566.9619162,49.5354125,17.6116745,0,53,49.5355038,17.6126281,0,3.01,0.0,581.25
1746259572.070333,1746259572.1150265,1746259577.0362086,49.5351938,17.6094353,0,64,49.5353199,17.6106066,0,3.7,0.0,631.24
1746259582.1437929,1746259582.1901696,1746259587.7402387,49.5349491,17.6068585,0,69,49.5350751,17.6081836,0,3.07,0.0,365.88
1746259592.8501678,1746259592.9343426,1746259598.6857271,49.5346777,17.6039559,0,79,49.5348194,17.6054441,0,3.03,0.0,498.21
1746259603.8017185,1746259603.8478804,1746259610.0720654,49.5343732,17.6007719,0,86,49.5345221,17.6023873,0,2.85,0.0,643.64
1746259615.1794608,1746259615.2434056,1746259619.9430077,49.5338937,17.5956385,0,84,49.5340625,17.5975421,0,3.75,0.0,459.84
1746259625.0526507,1746259625.1002772,1746259631.3821323,49.5337371,17.5940447,0,83,49.5338937,17.5956385,0,2.74,0.0,486.89
1746259636.49496,1746259636.5430913,1746259642.442099,49.5332698,17.5892713,0,83,49.533435,17.590856,0,3.29,0.0,1069.81
1746259647.5513968,1746259647.6154208,1746259652.4071984,49.5329874,17.586137,0,82,49.5331344,17.5877085,0,3.89,0.0,704.85
1746259657.5234606,1746259657.5884628,1746259662.4759152,49.5327009,17.5830436,0,79,49.5328586,17.5845827,0,3.67,0.0,562.59
1746259667.605261,1746259667.645925,1746259674.1263647,49.5324107,17.5801975,0,72,49.532557,17.5815862,0,2.58,0.0,329.59
1746259679.2417076,1746259679.3055134,1746259684.571244,49.5318504,17.5777141,0,63,49.5321889,17.5788763,0,3.41,0.0,599.13
1746259689.7012303,1746259689.7663717,1746259695.332565,49.5312029,17.5760792,0,37,49.5314955,17.5767846,0,3.3,0.0,744.03
1746259700.4476428,1746259700.4903326,1746259706.1314657,49.5309702,17.5756228,0,21,49.5312029,17.5760792,0,3.33,0.0,875.58
1746259711.2566442,1746259711.323341,1746259715.371511,49.5309702,17.5756228,0,21,49.5312029,17.5760792,0,4.74,0.0,692.85
1746259720.595389,1746259720.6614287,1746259724.4409463,49.5309702,17.5756228,0,21,49.5312029,17.5760792,0,4.65,0.0,365.4
1746259729.5697663,1746259729.6358774,1746259733.6993628,49.5309702,17.5756228,0,21,49.5312029,17.5760792,0,4.34,0.0,402.52
